iter	Passed	Remaining
731	3663	1341
732	3668	1336
733	3673	1331
734	3678	1326
735	3683	1321
736	3687	1316
737	3692	1310
738	3697	1305
739	3702	1300
740	3706	1295
741	3711	1290
742	3715	1285
743	3721	1280
744	3725	1275
745	3730	1270
746	3735	1265
747	3740	1260
748	3745	1255
749	3750	1250
750	3755	1245
751	3759	1239
752	3765	1235
753	3770	1230
754	3775	1225
755	3780	1220
756	3785	1215
757	3790	1210
758	3795	1205
759	3801	1200
760	3806	1195
761	3811	1190
762	3816	1185
763	3821	1180
764	3826	1175
765	3831	1170
766	3835	1165
767	3840	1160
768	3845	1155
769	3850	1150
770	3855	1145
771	3860	1140
772	3864	1134
773	3869	1129
774	3875	1125
775	3880	1120
776	3884	1114
777	3890	1110
778	3894	1104
779	3899	1099
780	3904	1094
781	3909	1089
782	3913	1084
783	3918	1079
784	3923	1074
785	3927	1069
786	3932	1064
787	3937	1059
788	3942	1054
789	3947	1049
790	3952	1044
791	3957	1039
792	3961	1034
793	3966	1029
794	3971	1024
795	3975	1018
796	3980	1013
797	3985	1008
798	3989	1003
799	3995	998
800	4001	994
801	4006	989
802	4011	984
803	4016	979
804	4021	974
805	4025	969
806	4030	963
807	4035	958
808	4040	953
809	4045	948
810	4050	943
811	4055	938
812	4060	933
813	4065	928
814	4070	923
815	4074	918
816	4080	913
817	4084	908
818	4088	903
819	4093	898
820	4097	893
821	4102	888
822	4107	883
823	4112	878
824	4117	873
825	4122	868
826	4127	863
827	4133	858
828	4138	853
829	4143	848
830	4149	843
831	4154	838
832	4160	834
833	4165	829
834	4170	824
835	4175	819
836	4180	814
837	4184	808
838	4189	803
839	4194	799
840	4199	793
841	4204	788
842	4209	783
843	4214	778
844	4218	773
845	4224	768
846	4228	763
847	4233	758
848	4238	753
849	4243	748
850	4247	743
851	4252	738
852	4256	733
853	4261	728
854	4266	723
855	4271	718
856	4276	713
857	4280	708
858	4285	703
859	4291	698
860	4295	693
861	4300	688
862	4305	683
863	4309	678
864	4314	673
865	4318	668
866	4324	663
867	4328	658
868	4332	653
869	4337	648
870	4341	643
871	4346	638
872	4351	633
873	4357	628
874	4361	623
875	4367	618
876	4372	613
877	4377	608
878	4382	603
879	4387	598
880	4391	593
881	4396	588
882	4401	583
883	4405	578
884	4409	573
885	4414	568
886	4419	562
887	4423	557
888	4429	553
889	4433	547
890	4438	542
891	4443	537
892	4448	532
893	4453	527
894	4458	523
895	4463	518
896	4467	512
897	4471	507
898	4477	502
899	4482	498
900	4486	493
901	4492	488
902	4496	483
903	4501	478
904	4506	473
905	4514	468
906	4519	463
907	4526	458
908	4532	453
909	4537	448
910	4543	443
911	4548	438
912	4553	433
913	4558	428
914	4563	423
915	4568	418
916	4572	413
917	4578	408
918	4582	403
919	4588	398
920	4592	393
921	4597	388
922	4602	383
923	4606	378
924	4611	373
925	4616	368
926	4621	363
927	4625	358
928	4630	353
929	4634	348
930	4639	343
931	4643	338
932	4648	333
933	4653	328
934	4658	323
935	4662	318
936	4667	313
937	4672	308
938	4677	303
939	4681	298
940	4686	293
941	4690	288
942	4695	283
943	4701	278
944	4705	273
945	4710	268
946	4715	263
947	4720	258
948	4725	253
949	4730	248
950	4734	243
951	4739	238
952	4744	233
953	4749	229
954	4753	224
955	4758	219
956	4763	214
957	4768	209
958	4773	204
959	4778	199
960	4783	194
961	4787	189
962	4792	184
963	4797	179
964	4801	174
965	4806	169
966	4811	164
967	4816	159
968	4820	154
969	4825	149
970	4830	144
971	4835	139
972	4840	134
973	4844	129
974	4849	124
975	4854	119
976	4859	114
977	4864	109
978	4868	104
979	4874	99
980	4878	94
981	4883	89
982	4888	84
983	4892	79
984	4897	74
985	4902	69
986	4907	64
987	4912	59
988	4916	54
989	4921	49
990	4925	44
991	4931	39
992	4936	34
993	4941	29
994	4945	24
995	4950	19
996	4955	14
997	4960	9
998	4964	4
999	4969	0
